LATITUDE,LONGITUDE,API,USGSREGION,FORMATION,BASIN,BASINCODE,STATE,STATECODE,COUNTY,COUNTYCODE,FIELD,FIELDCODE,WELLNAME,WELLTYPE,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,ELEVATION,SG,SPGRAV,SPGRAVT,RESIS,RESIST,PH,UNITS,TDSUSGS,TDS,chargebalance,B,Br,HCO3,Ca,Cl,I,K,Li,Mg,Na,SO4,Sr,Count Blank,Count Blank More
30.8499,-100.1732,42413006150000,West Texas and Eastern New Mexico,Canyon,Permian,430,Texas,42,Schleicher,413,Tillery,48-708254,Virgil Powell #1,Conventional Hydrocarbon,3564,3578,3596,2123,1.079,1.079,60,0.075,75,6.51,mg/L,113037,113037,-0.4,4.32,266.51,137.03,8286,69821.01,11.87,220.12,221.2,1363.86,32410.41,34.53,749.91,52,66
31.7034,-102.2182,42329016120000,West Texas and Eastern New Mexico,Fusselman,Permian,430,Texas,42,Midland,329,Sweetie Peck,48-692550,June Sanders #14-t,Conventional Hydrocarbon,6307,6412,13295,2907,1.17,1.17,60,0.049,68,6.83,mg/L,280953,280953,-0.1,76.05,599.04,85.41,23774,173405.7,10.53,2123,65.52,2387.97,80109.49,1806.48,450.45,53,67
32.0682,-102.589,42135026170000,West Texas and Eastern New Mexico,Holt,Permian,430,Texas,42,Ector,135,"Cowden, East",,Emma Cowden #d-23,Conventional Hydrocarbon,5135,6412,5335,3109,1.068,1.068,60,0.086,75,8.06,mg/L,96700,96700,0.7,10.68,484.87,609.83,3332,56234.47,27.77,385.55,57.67,1038.1,32077.68,3051.28,1393,52,66
33.4851,-103.0559,30025070830000,West Texas and Eastern New Mexico,Unknown,Permian,430,New Mexico,30,Lea,25,Sawyer,35-636097,Federal #1,Conventional Hydrocarbon,4950,4978,5032,2752,1.157,1.157,60,0.048,73,6.7,mg/L,262156,262156,-14.9,15.83,234.075,256,9440,159557,8.615,1900,51,3791,58026,1850,285,56,71
33.7715,-104.1671,30005002060000,West Texas and Eastern New Mexico,Montoya Ellenburger,Permian,430,New Mexico,30,Chaves,5,,,"Smith #1, Samedan Republic - Hamon",Conventional Hydrocarbon,6604,6664,6732,2752,1.159,1.159,60.08,0.047,76,6.5,mg/L,264178,264178,0,18.54,122.85,37.09,11126,161090.57,2.32,1323,48.68,1351.39,88589.79,950.38,333.79,53,67
31.6938,-102.1609,42329015960000,West Texas and Eastern New Mexico,Pennsylvanian,Permian,430,Texas,42,Midland,329,Sweetie Peck,48-692550,June Tippett #10,Conventional Hydrocarbon,6307,6412,10850,2892,1.123,1.123,60,0.065,71,6.87,mg/L,192673,192673,0.4,11.23,631.13,232.46,11499,118658.43,8.615,634.5,47.17,2183.11,59295.91,41.55,1543,54,68
33.4708,-101.4912,42107000860000,West Texas and Eastern New Mexico,Wolfcamp,Permian,430,Texas,42,Crosby,107,,,Clackwood #1,Conventional Hydrocarbon,7650,7683,9168,2752,1.134,1.134,60,0.048,75,7.31,mg/L,230710,230710,0.1,14.74,680.4,187.11,8164,140729.4,62.37,282.37,44.23,992.25,80054.26,365.15,944.62,52,66
33.502,-103.1038,30025213480000,West Texas and Eastern New Mexico,San Andres,Permian,430,New Mexico,30,Lea,25,"Sawyer, S. A.",,Federal - Carruth Wn #1,Conventional Hydrocarbon,4975,6412,5040,2752,1.153,1.153,60,0.055,77,6.21,mg/L,245486,245486,0,45,237,384,11690,150100,4,2370,41,4370,74653.7,845,365,53,68
32.477,-104.1706,30015011010000,West Texas and Eastern New Mexico,Strawn,Permian,430,New Mexico,30,Eddy,15,Wildcat,35-768291,Cedar Hills #1,Conventional Hydrocarbon,10432,11651,12812,2752,1.069,1.069,60,0.087,74,7.03,mg/L,98161,98161,0.8,77,39,126,8290,60850,136,99,39,1165,27681.28,192,1450,53,69
31.6908,-100.5186,42451100890000,West Texas and Eastern New Mexico,Pennsylvanian Strawn,Permian,430,Texas,42,Tom Green,451,Wildcat,48-768291,March Ranch #1,Conventional Hydrocarbon,6054,6412,6690,2324,1.054,1.054,60,0.143,70,6.95,mg/L,74184,74184,-0.2,15.83,234.075,561,2780,43800,8.615,400,36,740,24314,1450,103,56,71
